,TUCASEID,TRTALONE,TRNUMHOU,TRSPPRES,TELFS,TRTSPONLY,TRTFAMILY,TEAGE,TESEX,YEAR
194815,20070807071501,450,6,3,1,0,45,30,1,2007
189083,20070605071554,365,5,1,1,65,215,50,1,2007
588923,20200604200589,780,1,3,1,0,60,45,2,2020
609519,20210302210865,120,2,1,5,580,660,53,2,2021
209559,20080112071716,370,1,3,1,0,0,59,2,2008
188189,20070605070108,390,2,3,5,0,360,56,2,2007
641042,20220807222553,10,2,1,2,370,370,35,1,2022
326740,20110403110563,310,2,3,1,0,75,26,1,2011
168692,20061110061519,140,6,1,1,175,210,44,2,2006
71357,20040403040617,200,2,1,1,150,150,29,1,2004
338472,20110807110131,335,2,3,5,0,320,54,2,2011
136140,20060101061665,195,5,3,1,0,300,37,2,2006
139263,20060112052040,30,4,3,1,0,0,24,1,2006
164168,20061008060878,131,2,1,1,182,182,57,2,2006
299057,20100705100564,505,1,3,5,0,0,85,2,2010
78366,20040605042155,235,4,1,1,90,545,30,2,2004
516502,20170504172066,295,8,3,5,0,280,48,2,2017
176605,20070201070047,75,3,3,1,0,0,45,2,2007
32573,20030706032571,180,4,1,1,0,225,31,1,2003
591167,20200606201980,780,1,3,5,0,0,80,2,2020
42293,20030908032511,390,2,1,1,90,266,49,1,2003
313853,20101111100974,0,2,3,1,0,30,23,1,2010
132157,20051110051978,180,5,1,1,12,127,40,2,2005
487544,20160503162010,870,1,3,4,0,0,67,2,2016
373517,20120807121680,0,3,1,5,115,840,30,1,2012
432428,20140606142308,75,2,1,5,365,365,69,2,2014
137466,20060112050544,243,5,1,5,60,472,52,1,2006
95641,20041210042423,185,1,3,1,0,0,54,1,2004
143783,20060302061122,130,4,1,1,77,447,36,2,2006
445852,20141211140602,156,3,1,1,119,119,57,2,2014
254680,20090403091984,120,2,3,4,0,650,56,2,2009
329034,20110404112273,785,5,3,5,0,0,21,2,2011
580961,20191211192165,117,2,1,5,423,693,70,1,2019
480999,20160201161810,10,3,1,1,178,610,25,2,2016
315257,20101211100984,520,4,3,1,0,0,51,1,2010
229476,20080807081420,888,2,3,5,0,12,25,1,2008
186518,20070504071408,285,5,1,1,45,255,36,1,2007
321138,20110201110907,60,4,1,1,628,905,51,1,2011
360930,20120303122514,35,6,3,4,0,130,60,1,2012
559261,20190112182328,180,3,1,1,180,480,21,2,2019
98124,20041212041917,60,3,3,1,0,450,20,2,2004
40414,20030908030803,126,2,1,1,430,520,56,1,2003
151017,20060504061810,930,1,3,5,0,0,75,2,2006
259740,20090605090898,26,5,1,5,20,20,22,1,2009
101149,20050112041639,520,1,3,1,0,0,53,1,2005
376479,20120908121998,41,5,1,1,0,330,34,2,2012
319112,20110112101276,150,4,1,1,0,230,48,1,2011
249047,20090212080708,240,6,1,1,30,540,55,1,2009
73199,20040404041283,179,1,3,1,0,0,42,1,2004
27797,20030605032743,12,5,1,5,40,823,43,2,2003
238265,20081110081424,165,5,1,1,10,510,49,1,2008
62570,20040112032324,260,5,1,1,0,215,36,1,2004
432870,20140705142104,630,2,1,5,150,150,80,2,2014
633989,20220403221916,267,2,1,1,320,495,65,2,2022
199511,20071009070536,312,5,3,5,0,0,54,2,2007
265011,20090807090061,179,3,1,1,190,311,32,2,2009
541014,20180404181076,30,2,1,5,0,653,64,1,2018
227659,20080706082349,540,2,1,5,80,80,69,2,2008
406859,20130808130824,580,2,3,1,0,175,28,2,2013
259806,20090605090962,125,3,3,1,0,630,40,2,2009
386063,20130101132022,130,2,1,1,210,210,32,1,2013
226832,20080706081529,116,1,3,4,0,579,34,1,2008
436146,20140807141526,275,3,3,1,0,405,38,2,2014
121608,20050807050709,420,2,1,1,555,555,59,2,2005
529787,20171110172438,545,1,3,5,0,0,74,1,2017
398248,20130504131242,630,2,1,5,300,300,85,1,2013
116217,20050605051442,250,4,1,1,45,235,33,2,2005
626794,20211211211808,167,8,1,1,0,372,66,2,2021
108387,20050402052018,175,2,3,1,0,170,39,2,2005
593054,20200706202002,245,3,1,5,50,535,59,2,2020
602117,20201111200858,60,4,1,1,315,710,50,1,2020
534945,20180201180525,610,2,3,5,0,465,38,1,2018
550340,20180908181538,410,3,1,5,150,505,67,2,2018
377543,20120909122490,70,3,1,1,100,190,36,1,2012
55490,20031211030974,105,3,1,1,120,795,42,2,2003
400925,20130605131700,878,2,1,5,1,1,55,2,2013
41247,20030908031582,556,2,1,5,119,119,61,2,2003
621588,20210908211756,495,2,1,1,390,390,78,1,2021
259239,20090604092457,705,3,3,5,0,0,78,1,2009
654341,20230403231839,635,1,3,5,0,0,71,1,2023
163989,20060909062273,270,3,1,1,0,510,28,1,2006
600489,20201109202339,525,2,2,1,0,0,31,2,2020
251568,20090302092095,900,1,3,5,0,30,42,2,2009
254639,20090403091943,596,2,1,1,39,39,34,1,2009
629041,20220112211874,810,1,3,1,0,0,61,1,2022
